Unnamed: 0,humedad,irradiancia,pm10_1,pm10_2,pm25_1,pm25_2,precipitacion,presion,temperatura
2021-10-10 00:00:00,68.245521625,0.0,8.424999999999999,5.925000000000001,7.962499999999999,5.575,0.0,896.7255936250001,27.988500375
2021-10-10 01:00:00,66.99484144444443,0.0,6.7944444629629634,4.88703701851852,6.0,4.12962962962963,0.0,897.0477668333334,27.373678722222216
2021-10-10 02:00:00,69.46272345454545,0.0,8.009090909090908,5.754545454545454,7.381818181818182,5.154545454545454,0.0,897.4548008181818,27.197939545454545
2021-10-11 18:00:00,61.228864,0.0,61.5999995,4.35,48.375,3.375,0.0,752.0901690000001,20.837557
2021-10-12 20:00:00,48.600712900000005,37.9901523,3.3625000000000003,0.0,2.7111111111111112,0.0,0.0,749.7649062222222,19.40075025
2021-10-12 21:00:00,48.8843897254902,72.02370556862746,2.703921568627451,1.3100000000000005,2.11764705882353,0.9294117647058822,0.0,749.7769875102041,19.20371998
2021-10-12 22:00:00,54.86713252631579,15.85927571929825,11.76842103508772,8.822807017543859,9.76140350877193,7.835087719298246,0.0,750.4659017894735,18.177765877192986
2021-10-12 23:00:00,57.43814298245616,0.0,9.277193,7.838596491228071,8.13684212280702,6.640350877192983,0.0,751.1839749824564,17.292117157894733
2021-10-13 00:00:00,57.65393707017542,0.0,2.5956140350877197,0.0175438596491228,2.2254385964912284,0.0175438596491228,0.0,751.9489408571426,16.449637473684213
2021-10-13 01:00:00,57.12466421052632,0.0,2.82982456140351,0.0,2.469642857142857,0.0,0.0,752.7288958070175,16.25401180701754
2021-10-13 02:00:00,61.51180186956521,0.0,4.481521739130434,0.0,4.040206319999999,0.0,0.0,753.1136793333333,15.144362904761904
2021-10-13 03:00:00,62.06102778431373,0.0,11.95989998,0.0,8.678297914893617,0.0,0.0,753.1735193061222,14.936259659999996
2021-10-13 04:00:00,62.9909594,0.0,14.631205680851066,0.0,12.936414588235293,0.0,0.0,752.995639770833,14.95216170212766
2021-10-13 05:00:00,66.89892544444443,0.0,17.4771526,0.0,15.446271842105263,0.0,0.0,752.4656640625,14.482668736842108
2021-10-13 06:00:00,70.457686,0.0,24.110784294117646,0.0,20.23703708333333,0.0,0.0,751.43110356,13.521233666666667
2021-10-13 07:00:00,71.56942971428572,0.0,24.018955923076927,0.0,19.69807707692308,0.0,0.0,751.2909545454545,13.20888314285714
2021-10-13 10:00:00,,,,,,,,,12.22
2021-10-13 12:00:00,62.60791,,63.125,,,,,,
2021-10-13 13:00:00,56.56805652500001,364.10176115,51.77599637777776,0.0,42.40871190909091,0.0,0.0,753.592845075,17.779820210526314
2021-10-13 14:00:00,55.2770637719298,344.58059877192983,44.07894745614034,0.9824561403508772,36.377193175438606,0.8771929824561403,0.0,753.5867727543858,18.145461807017544
2021-10-13 15:00:00,50.77627122807019,346.4548620701755,33.09298229824563,29.861403526315797,29.0982456491228,26.93157896491228,0.0,752.8627051578947,19.167567175438595
2021-10-13 16:00:00,46.80079638596492,207.28819273684203,17.6824562631579,25.49824561403509,15.852631508771928,21.48771929824562,0.0,752.0230005789476,20.195006105263158
2021-10-13 17:00:00,49.01903231578946,355.6042429649123,19.66140357894737,20.36491231578948,17.549122877192985,17.577192982456143,0.0,751.0917422631577,20.15746229824561
2021-10-13 18:00:00,49.11616419298246,233.59473875438607,28.119298298245614,21.58421054385965,24.994736824561404,20.108771947368425,0.0,750.347602736842,20.454608105263148
2021-10-13 19:00:00,51.15576138596491,212.53381280701748,43.973684122807,42.26315789473684,36.35789464912282,35.63157894736842,0.0,749.9325240526317,20.15471319298245
2021-10-13 20:00:00,55.9715266140351,91.20524457894736,35.90350894736842,43.0,31.452631614035106,36.0,0.0,749.6588820350878,19.40277203508771
2021-10-13 21:00:00,55.94691715789474,241.88959617543856,18.384210456140345,22.85263159649123,16.5000000877193,19.540350894736843,0.0,749.6569920701756,19.96073675438597
2021-10-13 22:00:00,62.79727019298246,8.98159398245614,15.884210526315792,14.0,14.24035084210526,12.0,0.0,750.5041246140349,17.79267833333333
2021-10-13 23:00:00,66.78696022727276,0.0,18.32926154347826,9.142857142857142,16.750143510638292,8.608695652173912,0.0,751.1084709302326,16.670371162790698
2021-10-14 00:00:00,65.8021750222222,0.0,18.19699347058824,0.0,16.441787304347834,0.0,0.0,751.5445485348837,16.619559918367347
2021-10-14 01:00:00,63.67657155769229,0.0,15.406140350877196,0.0,13.616666703703702,0.0,0.0,752.2201537735849,16.017320818181823
2021-10-14 02:00:00,65.29098420930232,0.0,28.73669767391304,0.0,24.3848345,0.0,0.0,752.6567577499998,16.19849448837209
2021-10-14 03:00:00,64.7343929512195,0.0,29.895736441860468,0.0,24.80901082926829,0.0,0.0,752.4708752564104,16.008549799999997
2021-10-14 04:00:00,68.72896333333333,0.0,27.502321056603773,0.0,23.687752000000003,0.0,0.0,752.1565551509435,14.949294179999995
2021-10-14 05:00:00,69.86318986666666,0.0,23.66843970212766,0.0,20.77159077272727,0.0,0.0,751.8797127619047,14.712241568181817
2021-10-14 06:00:00,73.45687333333335,0.0,24.96878271428572,0.0,26.388888666666663,0.0,0.0,751.34379575,13.696701833333334
2021-10-14 07:00:00,71.3138845,0.0,17.875,0.0,22.666666666666668,0.0,0.0,750.978882,14.09477125
2021-10-14 08:00:00,72.24945485,0.0,25.760595357142854,0.0,22.656597291666667,0.0,0.0,751.2256020526315,14.030575666666667
2021-10-14 09:00:00,72.82845470967742,0.0,23.63141765517242,0.0,20.69261833333333,0.0,0.0,751.2870687499999,13.799425153846157
